function,samples,dimension,noise,nuisance_correlation,n_correlated_proxies,width_hidden,grid,k,lamb,probe_steps,method,top_m,heldout_seed,num_probe_rows,selected_screen_features,top_selection_variables,top_edge_pairs,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,true_endpoint_rank_mean,true_endpoint_rank_worst,true_endpoint_score_mean,max_nuisance_score,endpoint_minus_max_nuisance
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_stability_var,10,all,30,"[0, 1, 3, 2, 33, 98, 11, 56, 81, 31]","[0, 1, 3, 2, 33, 98, 11, 56, 81, 31, 84, 29]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",10,1,1.0,1,1.0,1,3.5,4.0,0.01857651338295093,0.01665381491362603,0.0019226984693249023
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_stability_var,20,all,30,"[0, 1, 3, 2, 33, 98, 11, 56, 81, 31, 84, 29, 46, 69, 59, 66, 91, 92, 43, 96]","[0, 1, 3, 2, 33, 98, 11, 56, 81, 31, 84, 29]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",20,1,1.0,1,1.0,1,3.5,4.0,0.01857651338295093,0.01665381491362603,0.0019226984693249023
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,4,all,30,"[0, 1, 3, 33]","[0, 1, 3, 33, 98, 2, 11, 56, 81, 31, 84, 29]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",4,0,0.75,0,0.5,0,4.5,6.0,0.01603001960019052,0.015120031155377389,0.0009099884448131295
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,6,all,30,"[0, 1, 3, 33, 98, 2]","[0, 1, 3, 33, 98, 2, 11, 56, 81, 31, 84, 29]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",6,1,1.0,1,1.0,1,4.5,6.0,0.01603001960019052,0.015120031155377389,0.0009099884448131295
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,10,all,30,"[0, 1, 3, 33, 98, 2, 11, 56, 81, 31]","[0, 1, 3, 33, 98, 2, 11, 56, 81, 31, 84, 29]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",10,1,1.0,1,1.0,1,4.5,6.0,0.01603001960019052,0.015120031155377389,0.0009099884448131295
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_endpoint_mass,20,all,30,"[0, 1, 3, 33, 98, 2, 11, 56, 81, 31, 84, 29, 91, 46, 59, 52, 43, 69, 92, 57]","[0, 1, 3, 33, 98, 2, 11, 56, 81, 31, 84, 29]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",20,1,1.0,1,1.0,1,4.5,6.0,0.01603001960019052,0.015120031155377389,0.0009099884448131295
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,4,all,30,"[0, 1, 3, 33]","[0, 1, 3, 33, 98, 2, 11, 56, 81, 31, 84, 29]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",4,0,0.75,0,0.5,0,4.5,6.0,0.01603001960019052,0.015120031155377389,0.0009099884448131295
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,6,all,30,"[0, 1, 2, 3, 33, 98]","[0, 1, 3, 33, 98, 2, 11, 56, 81, 31, 84, 29]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",6,1,1.0,1,1.0,1,4.5,6.0,0.01603001960019052,0.015120031155377389,0.0009099884448131295
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,10,all,30,"[0, 1, 2, 3, 11, 31, 33, 56, 81, 98]","[0, 1, 3, 33, 98, 2, 11, 56, 81, 31, 84, 29]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",10,1,1.0,1,1.0,1,4.5,6.0,0.01603001960019052,0.015120031155377389,0.0009099884448131295
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_endpoint,20,all,30,"[0, 1, 2, 3, 11, 29, 31, 33, 43, 46, 52, 56, 57, 59, 69, 81, 84, 91, 92, 98]","[0, 1, 3, 33, 98, 2, 11, 56, 81, 31, 84, 29]","[[0, 1, 1.0], [0, 3, 0.04402672896701847], [0, 98, 0.0398974161776298], [0, 33, 0.039671422502767555], [0, 11, 0.03829804599638538], [0, 2, 0.03804986604979802], [0, 84, 0.03659503171554556], [0, 56, 0.036061561417509526], [0, 46, 0.03605455853869975], [0, 81, 0.035990495790645866]]",20,1,1.0,1,1.0,1,4.5,6.0,0.01603001960019052,0.015120031155377389,0.0009099884448131295
