model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std
KAN_tuned_fixed,core_interaction,exclude_interaction,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0027062222167539,0.0016255643492286,3.930370668570201,2.5760974516311577,20.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.1443375672974064,0.5307971014492754,0.1051154022709373,0.3866666666666667,0.1327905619136139,0.0,0.0,0.0,0.0,15.596048990885416,2.72347377836528
KAN_tuned_fixed,core_interaction,oracle_support,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,5.073840005328141e-06,5.4482394399159385e-06,1.195254208141705e-05,1.4390024679318775e-05,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1882154941558838,0.010157955455142,0.0245341410239537,0.0087172705065091
KAN_tuned_fixed,core_interaction,random,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0031813607486886,0.0030404824246174,3.837378618292557,3.33009688729292,20.0,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.5,0.3333333333333333,0.5,0.4330127018922193,0.7019927536231885,0.2710634716068757,0.5666666666666667,0.3774034092762456,0.3333333333333333,0.5773502691896258,0.3908326228459676,0.6769419600246207,11.138375808795294,9.610618928807678
KAN_tuned_fixed,core_interaction,raw,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,2.545669112545094e-08,3.994351407297501e-08,0.773969809214274,0.1155597304032389,50.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,0.9057971014492754,0.1044459080101418,0.7971283495477044,0.2072138160206781,0.0,0.0,0.8332977692286173,0.353655448876743,5.07932464281718,1.4091085861551738
KAN_tuned_fixed,core_interaction,rf,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,9.485159656226946e-06,8.594781019840147e-06,2.6984263361858517e-05,2.6918682305193843e-05,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.18482240041097,0.0116476593424111,0.0421764949957529,0.0239279540845672
KAN_tuned_fixed,feynman_coulomb,exclude_interaction,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0049024831193188,0.0007503465770094,6.6543199221293134,1.1446049705159074,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2872340425531915,0.0,0.06,0.0,0.0,0.0,0.0,0.0,20.186292966206867,9.057402126981422
KAN_tuned_fixed,feynman_coulomb,oracle_support,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0014564738376066,0.0012898230308871,0.0066832618710274,0.0057704162333442,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.1720514827304416,0.16405060441213,0.1553283085425695,0.1329794215238235
KAN_tuned_fixed,feynman_coulomb,random,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0037858355014274,0.0018438155023388,4.77123267762363,4.527192132872951,20.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5091750772173156,0.74822695035461,0.2360487835552144,0.5237037037037037,0.4217209500022282,0.3333333333333333,0.5773502691896258,2.3263434304131403,2.5991757635298187,13.122344329953194,11.188910159002038
KAN_tuned_fixed,feynman_coulomb,raw,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,5.618759927698373e-08,4.844565457078453e-08,1.6877097288767495,0.1650951920946529,50.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777777,0.1924500897298752,0.8817966903073285,0.1206368872073103,0.8043306464359096,0.1699375479783738,0.3333333333333333,0.0,1.8523860938019223,0.3727908579123706,2.1586846510569253,0.0705829703832491
KAN_tuned_fixed,feynman_coulomb,rf,50,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0020451610616873,0.0021384796341232,0.0155128836631774,0.016269470804873,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.015852901670668,0.0456549776075219,0.3178138236204783,0.2050168712759079
