source_file,function,explain_method,variable,is_true_active,selection_frequency,mean_importance
core_d100_noise00_lamb0.01.csv,core_interaction,grad,53,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,54,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,55,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,56,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,57,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,58,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,59,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,60,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,61,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,62,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,63,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,64,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,65,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,66,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,67,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,68,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,69,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,70,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,71,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,72,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,73,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,74,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,75,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,76,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,77,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,78,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,79,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,80,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,81,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,82,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,83,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,84,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,85,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,86,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,87,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,88,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,89,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,90,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,91,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,92,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,93,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,94,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,95,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,96,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,97,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,98,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,grad,99,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,0,1,1.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,1,1,0.4,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,2,1,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,3,1,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,4,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,5,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,6,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,7,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,8,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,9,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,10,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,11,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,12,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,13,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,14,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,15,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,16,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,17,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,18,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,19,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,20,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,21,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,22,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,23,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,24,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,25,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,26,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,27,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,28,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,29,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,30,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,31,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,32,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,33,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,34,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,35,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,36,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,37,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,38,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,39,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,40,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,41,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,42,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,43,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,44,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,45,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,46,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,47,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,48,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,49,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,50,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,51,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,52,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,53,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,54,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,55,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,56,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,57,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,58,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,59,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,60,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,61,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,62,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,63,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,64,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,65,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,66,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,67,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,68,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,69,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,70,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,71,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,72,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,73,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,74,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,75,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,76,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,77,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,78,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,79,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,80,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,81,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,82,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,83,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,84,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,85,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,86,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,87,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,88,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,89,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,90,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,91,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,92,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,93,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,94,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,95,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,96,0,0.0,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,97,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,98,0,0.2,
core_d100_noise00_lamb0.01.csv,core_interaction,perm,99,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,0,1,1.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,1,1,0.8,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,2,1,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,3,1,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,4,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,5,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,6,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,7,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,8,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,9,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,10,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,11,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,12,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,13,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,14,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,15,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,16,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,17,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,18,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,19,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,20,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,21,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,22,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,23,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,24,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,25,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,26,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,27,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,28,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,29,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,30,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,31,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,32,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,33,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,34,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,35,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,36,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,37,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,38,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,39,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,40,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,41,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,42,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,43,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,44,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,45,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,46,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,47,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,48,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,49,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,50,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,51,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,52,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,53,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,54,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,55,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,56,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,57,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,58,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,59,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,60,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,61,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,62,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,63,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,64,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,65,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,66,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,67,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,68,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,69,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,70,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,71,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,72,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,73,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,74,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,75,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,76,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,77,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,78,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,79,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,80,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,81,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,82,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,83,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,84,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,85,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,86,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,87,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,88,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,89,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,90,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,91,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,92,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,93,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,94,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,95,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,96,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,97,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,98,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,grad,99,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,0,1,1.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,1,1,0.8,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,2,1,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,3,1,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,4,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,5,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,6,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,7,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,8,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,9,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,10,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,11,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,12,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,13,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,14,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,15,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,16,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,17,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,18,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,19,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,20,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,21,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,22,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,23,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,24,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,25,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,26,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,27,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,28,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,29,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,30,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,31,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,32,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,33,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,34,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,35,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,36,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,37,0,0.4,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,38,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,39,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,40,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,41,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,42,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,43,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,44,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,45,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,46,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,47,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,48,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,49,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,50,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,51,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,52,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,53,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,54,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,55,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,56,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,57,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,58,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,59,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,60,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,61,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,62,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,63,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,64,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,65,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,66,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,67,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,68,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,69,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,70,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,71,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,72,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,73,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,74,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,75,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,76,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,77,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,78,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,79,0,0.2,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,80,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,81,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,82,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,83,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,84,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,85,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,86,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,87,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,88,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,89,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,90,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,91,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,92,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,93,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,94,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,95,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,96,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,97,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,98,0,0.0,
core_d100_noise00_lamb0.05.csv,core_interaction,perm,99,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,0,1,1.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,1,1,0.8,
core_d100_noise00_lamb001.csv,core_interaction,grad,2,1,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,3,1,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,4,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,5,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,6,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,7,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,8,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,9,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,10,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,11,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,12,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,13,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,14,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,15,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,16,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,17,0,0.2,
core_d100_noise00_lamb001.csv,core_interaction,grad,18,0,0.2,
core_d100_noise00_lamb001.csv,core_interaction,grad,19,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,20,0,0.2,
core_d100_noise00_lamb001.csv,core_interaction,grad,21,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,22,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,23,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,24,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,25,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,26,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,27,0,0.2,
core_d100_noise00_lamb001.csv,core_interaction,grad,28,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,29,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,30,0,0.0,
core_d100_noise00_lamb001.csv,core_interaction,grad,31,0,0.0,
