model,function,screen_mode,seed,samples,test_samples,dimension,noise,top_m,selected_screen_features,screen_score_type,screen_scores,true_variables,true_interactions,num_true_variables,num_true_interactions,formula,grid,k,width_hidden,lamb,steps,opt,update_grid,grid_update_num,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,status,error,traceback,train_mse,test_mse,variable_method,interaction_method,importance_scores,selected_variables,variable_precision,variable_recall,variable_f1,variable_auroc,variable_auprc,selected_interactions,interaction_precision,interaction_recall,interaction_f1,true_interaction_score_mean,max_nontrue_interaction_score,screen_endpoint_recall,screen_contains_all_endpoints,explain_interaction_endpoint_recall,explain_contains_all_interaction_endpoints,selected_interaction_endpoint_recall,selected_interaction_contains_all_endpoints,true_interaction_mean_score_margin,true_interaction_beats_all_false,true_interaction_rank_bucket,true_interaction_rank_lower_bound,failure_stage,interaction_strength,selected_support,variable_stability_scores,variable_mean_importance_scores,top_variables_by_stability,pair_stability_scores,top_pairs_by_stability,num_stability_rows,stability_seed_pool,true_interaction_best_rank,true_interaction_worst_rank,true_interaction_rank_mean
KAN_tuned_fixed,core_interaction_c05,raw,0,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.5*x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001362546172458,0.0001664850569795,grad,fd,"[5.149961948394775, 1.3258998394012451, 0.2942371368408203, 0.30182498693466187, 0.0012550160754472017, 0.0005128291668370366, 0.0008662861655466259, 0.0008646722417324781, 0.0009877488482743502, 2.0721474356832914e-05, 0.0013659617397934198, 0.0019173191394656897, 0.001128477742895484, 0.0010768049396574497, 0.0015184137737378478, 0.000970223918557167, 0.0018219206249341369, 0.0002901569823734462, 0.0007763318717479706, 0.0005506401648744941, 0.0005130052450112998, 0.00034895859425887465, 4.700079443864524e-06, 0.0017202002927660942, 0.00042061571730300784, 0.00048125721514225006, 0.0015384361613541842, 0.0007075517205521464, 0.0005254551069810987, 0.0009846191387623549, 0.0003786461893469095, 0.00011173404345754534, 0.0007408367819152772, 0.0005237443838268518, 0.000741599767934531, 0.0004840415494982153, 0.0006247154669836164, 0.0004379786550998688, 0.0008777662878856063, 0.00116473319940269, 0.0005897786468267441, 0.0004608725430443883, 0.0007029596017673612, 0.000355556549038738, 0.00031178799690678716, 0.0008686726214364171, 0.0007192855700850487, 0.00022323126904666424, 0.000828769407235086, 0.0003132275305688381]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,0.6033066511154175,0.1635725498199463,1.0,1.0,1.0,1.0,1.0,1.0,0.4397341012954712,1.0,1,1.0,recovered,0.5,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c05,raw,1,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.5*x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001914468011818,0.000251667224802,grad,fd,"[5.156834602355957, 1.2664203643798828, 0.30905282497406006, 0.30593788623809814, 9.253337339032441e-06, 0.001160817570053041, 0.0006220485083758831, 0.00033831162727437913, 0.0020612385123968124, 0.0005828344146721065, 0.0005635899724438787, 0.0017570906784385443, 0.0007912130677141249, 0.0031609064899384975, 0.0010231854394078255, 0.0006309350719675422, 0.000254253187449649, 0.0005924059660173953, 0.0005982907023280859, 0.0005842349492013454, 0.0007795032579451799, 0.00040569849079474807, 0.0009152693091891706, 0.0005098392139188945, 0.00018346478464081883, 0.0003784261643886566, 0.0014820157084614038, 0.005458398722112179, 0.0010455548763275146, 0.00041310119559057057, 0.0001971536985365674, 0.0011831754818558693, 0.00022791867377236485, 0.004339699633419514, 5.393874744186178e-05, 0.0016008999664336443, 0.0008165141334757209, 0.0013084583915770054, 0.00157945288810879, 0.001153967808932066, 0.0007817939040251076, 0.0024482966400682926, 0.0029651245567947626, 0.0010246537858620286, 0.0007023396901786327, 0.0013938560150563717, 0.0007338473806157708, 0.00028313035727478564, 0.0017438371432945132, 0.0008894689963199198]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,0.5878845453262329,0.2319738268852234,1.0,1.0,1.0,1.0,1.0,1.0,0.3559107184410095,1.0,1,1.0,recovered,0.5,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c05,raw,2,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.5*x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001265301107196,0.0001544928818475,grad,fd,"[5.102177619934082, 1.2702821493148804, 0.31803223490715027, 0.29746395349502563, 0.0008581168949604034, 0.00044666489702649415, 0.0005659087910316885, 0.0001592506014276296, 0.001692513469606638, 0.00012304670235607773, 6.423235026886687e-05, 4.837504820898175e-05, 0.00029072570032440126, 0.0002254301798529923, 8.105339657049626e-05, 0.0003887684433721006, 0.002245706971734762, 2.6848832931136712e-05, 2.6321728000766598e-05, 0.0006032371893525124, 0.0002550067729316652, 0.0003624102973844856, 0.0003740209504030645, 0.0002902910637203604, 0.00030700323986820877, 0.0011425967095419765, 5.3751027735415846e-05, 0.001193631673231721, 0.000390325061744079, 0.0001194375945487991, 0.000864387780893594, 0.00014118730905465782, 0.0002574047539383173, 1.4139917766442522e-05, 0.00020283908816054463, 0.0018327416619285941, 0.00025263254065066576, 0.0006251023150980473, 0.000700370583217591, 0.00029254722176119685, 0.0005142947775311768, 0.0007236553938128054, 0.00010573125473456457, 0.0007013068534433842, 0.00030790967866778374, 0.0002367603883612901, 0.0005924407159909606, 0.0010086060501635075, 0.0002356427430640906, 0.00016253464855253696]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,0.5818041563034058,0.2167502045631408,1.0,1.0,1.0,1.0,1.0,1.0,0.3650539517402649,1.0,1,1.0,recovered,0.5,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c05,raw,3,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.5*x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0002489616163074,0.0003012235101778,grad,fd,"[5.304052352905273, 1.2483452558517456, 0.31509408354759216, 0.30553126335144043, 0.0014526129234582186, 0.00020008618594147265, 0.0012414385564625263, 0.0005948926554992795, 0.000441691285232082, 0.0003851557557936758, 0.0004083543608430773, 0.0003099053574260324, 0.0020564827136695385, 0.0023085118737071753, 0.0018289103172719479, 0.0008226321660913527, 0.0059663476422429085, 0.003134988248348236, 0.0020513872150331736, 0.0017519849352538586, 0.00030482595320791006, 0.001439656363800168, 0.00026239320868626237, 0.0022553163580596447, 0.001390607561916113, 0.002522726310417056, 0.001622313167899847, 0.0013854457065463066, 0.0037306174635887146, 0.002231127582490444, 0.000418708601500839, 0.001444570254534483, 0.0005991586949676275, 0.003037645947188139, 0.00287967873737216, 0.00118354638107121, 0.0006847508484497666, 0.0004601213731803, 0.0017159020062536001, 0.0007947040721774101, 0.00017325968656223267, 0.00035844158264808357, 0.0020032862666994333, 0.0011889656307175756, 0.0007744485628791153, 0.0007873596623539925, 0.0010426222579553723, 0.0012635907623916864, 0.00027277879416942596, 0.007664095144718885]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,0.5758222341537476,0.1392106115818023,1.0,1.0,1.0,1.0,1.0,1.0,0.4366116225719452,1.0,1,1.0,recovered,0.5,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c05,raw,4,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.5*x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0002686187508516,0.0003304315614514,grad,fd,"[5.28007698059082, 1.281312108039856, 0.3269323408603668, 0.3081352412700653, 0.000984738115221262, 0.0008519734255969524, 0.0003339779796078801, 0.002056522062048316, 0.00048420345410704613, 0.00035819056211039424, 0.0005310694687068462, 0.0002660592144820839, 0.0007284675957635045, 0.0006185611709952354, 0.0003776279045268893, 0.002289114287123084, 0.0009714982588775456, 0.0005068765603937209, 0.0012528953375294805, 0.00039471022319048643, 0.00023533790954388678, 0.0012334161438047886, 0.0003270817396696657, 0.0009561552433297038, 0.002428037114441395, 0.0014784687664359808, 0.00019558203348424286, 0.0007877520984038711, 0.000362860388122499, 0.00048314090236090124, 0.0017404453828930855, 0.00023642292944714427, 0.00026257860008627176, 0.00011006576096406206, 0.0007564392290078104, 0.0003395116073079407, 0.0009791192132979631, 0.0013213418424129486, 0.0017828934360295534, 0.0005973442457616329, 0.00042442313861101866, 0.001558759598992765, 0.0007712693186476827, 0.001010882668197155, 0.0009839230915531516, 0.002078882185742259, 0.0017923845443874598, 0.0004662700812332332, 0.00025132973678410053, 8.954432269092649e-05]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,0.5982130169868469,0.1927030831575393,1.0,1.0,1.0,1.0,1.0,1.0,0.4055099338293076,1.0,1,1.0,recovered,0.5,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c05,raw,5,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.5*x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001322721655014,0.0001709421776467,grad,fd,"[4.924677848815918, 1.3196971416473389, 0.3023799955844879, 0.3107166290283203, 0.0010343275498598814, 0.0009263674728572369, 0.0021435110829770565, 0.0013911970891058445, 0.0004730526707135141, 0.0006152736605145037, 0.0006454001413658261, 0.0004897756734862924, 0.00020496183424256742, 0.0007225172594189644, 0.0007354464614763856, 0.0010252250358462334, 0.0006762996199540794, 0.00023350240371655673, 0.0006105731008574367, 0.0004649950424209237, 0.0012028615456074476, 0.00039662240305915475, 0.0010113958269357681, 0.0005421381210908294, 0.0004031537682749331, 4.9193295126315206e-05, 0.0014006758574396372, 0.0025817768182605505, 0.0004654225194826722, 0.0023272293619811535, 0.0012189587578177452, 0.0021096165291965008, 0.0005864963750354946, 0.0009034276008605957, 0.00024548941291868687, 0.00047859916230663657, 0.001060199923813343, 0.0005829241708852351, 0.0005987309268675745, 0.0002205118362326175, 0.0006554480642080307, 0.00029142716084606946, 0.00124015670735389, 0.00020575887174345553, 0.00022693976643495262, 0.0002064742147922516, 0.0006507745711132884, 0.0009204900707118213, 0.0013615055941045284, 0.0015678561758249998]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,0.5793980956077576,0.0692149475216865,1.0,1.0,1.0,1.0,1.0,1.0,0.510183148086071,1.0,1,1.0,recovered,0.5,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c05,raw,6,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.5*x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001179665341624,0.0001311010273639,grad,fd,"[5.115041732788086, 1.2682404518127441, 0.30131906270980835, 0.2974936068058014, 0.0006083903135731816, 0.000989193795248866, 0.0005037218797951937, 0.0005911177140660584, 0.0005680077010765672, 0.0010298755951225758, 0.000737053225748241, 0.00046280917013064027, 0.0020400630310177803, 0.0005634828703477979, 0.000962237361818552, 0.0009232310112565756, 0.0011908810120075941, 0.0009933131514117122, 0.0005001221434213221, 0.0008003968396224082, 0.0001753974356688559, 0.0010689115151762962, 0.00033696313039399683, 0.001636253553442657, 0.0017725767102092505, 0.0008919889223761857, 0.0008065259316936135, 0.0012067485367879272, 0.0010587029391899705, 0.0006251351442188025, 0.0009545726934447885, 0.0005250844988040626, 0.000892598822247237, 0.001489082002080977, 0.0012583936331793666, 0.0009304254199378192, 0.0003366018645465374, 0.0009697144851088524, 0.0008382928790524602, 0.0006479799631051719, 0.0007747060153633356, 0.0006961885956116021, 0.0008755440358072519, 0.0008556562243029475, 0.0005072670755907893, 0.001663089613430202, 0.0005391864688135684, 0.000948274799156934, 0.0004406861262395978, 0.0011451942846179008]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,0.6009405851364136,0.1651200056076049,1.0,1.0,1.0,1.0,1.0,1.0,0.4358205795288087,1.0,1,1.0,recovered,0.5,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c05,raw,7,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.5*x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001532391033833,0.0001925527612911,grad,fd,"[4.926538467407227, 1.2854121923446655, 0.30512624979019165, 0.3093211352825165, 4.630673356587067e-05, 0.0026830448769032955, 0.0009216051548719406, 0.000570393749512732, 0.0014382220106199384, 0.0009033415699377656, 0.0018753985641524196, 0.0013353126123547554, 0.0010805175406858325, 0.0014523451682180166, 0.0010548941791057587, 0.00280152540653944, 0.000282437278656289, 0.001763774547725916, 0.0001219468904309906, 0.0003789554466493428, 0.0005387931596487761, 0.0015544384950771928, 0.0003669783181976527, 0.001268082414753735, 0.0026875666808336973, 0.0006627053371630609, 0.00046285410644486547, 0.00203313073143363, 0.0011957166716456413, 0.00037473347038030624, 0.0006315337959676981, 0.00376381678506732, 0.00253144558519125, 0.00028471375117078424, 0.0016787422355264425, 0.00013831225805915892, 0.0005394764011725783, 0.0010377340950071812, 0.00032142159761860967, 0.00035582028795033693, 0.0012424004962667823, 0.00038279889849945903, 0.00045263406354933977, 8.452920155832544e-05, 0.0013559891376644373, 0.0029193575028330088, 0.0017732704291120172, 0.00014628630015067756, 0.00018664143863134086, 0.0014964479487389326]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,0.5809423923492432,0.1449644267559051,1.0,1.0,1.0,1.0,1.0,1.0,0.435977965593338,1.0,1,1.0,recovered,0.5,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c05,raw,8,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.5*x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0002571961085777,0.0003527458175085,grad,fd,"[4.86039924621582, 1.2351536750793457, 0.2896009683609009, 0.28557735681533813, 0.00021446638857014477, 0.0017273181583732367, 0.0015649452107027173, 0.005686650983989239, 0.0023576028179377317, 0.003513759933412075, 0.005729484371840954, 0.004417121410369873, 0.0010175041388720274, 0.0004628213355317712, 0.0013218242675065994, 0.005166838876903057, 0.0024412074126303196, 0.0033023213036358356, 0.0006999290781095624, 0.0028531658463180065, 0.0037157470360398293, 0.0024290690198540688, 0.0008606957271695137, 0.002257916145026684, 0.004466400947421789, 0.0014349538832902908, 0.00437737163156271, 0.0016771552618592978, 0.0019751694053411484, 0.0001231572823598981, 0.003474166616797447, 0.0002616946876514703, 0.004411254543811083, 0.0001883541262941435, 0.004953308496624231, 0.005665760487318039, 0.000985091202892363, 0.0021565090864896774, 0.008468043059110641, 0.0024938674177974463, 0.0024704039096832275, 0.0026274146512150764, 0.0006737107178196311, 0.0015512974932789803, 0.0003937764558941126, 0.004942865110933781, 0.006936414632946253, 0.0009960881434381008, 0.006400918588042259, 0.00439669843763113]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,0.5637009143829346,0.2229165732860565,1.0,1.0,1.0,1.0,1.0,1.0,0.340784341096878,1.0,1,1.0,recovered,0.5,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c05,raw,9,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + 0.5*x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001597931113792,0.0002183550386689,grad,fd,"[5.071620464324951, 1.2701778411865234, 0.29817715287208557, 0.2837851047515869, 0.0002352833398617804, 0.001334168715402484, 0.0010847665835171938, 0.00113676767796278, 0.0003215672040823847, 0.002222116570919752, 0.00158125557936728, 0.0011262318585067987, 0.0004056697362102568, 0.00028406703495420516, 0.001602937700226903, 0.0005672122351825237, 0.0009071076055988669, 0.00030269401031546295, 0.0004331341478973627, 0.002204609103500843, 0.0011387451086193323, 0.00011491295299492776, 0.004198621492832899, 0.0001923163654282689, 0.0009230414871126413, 0.0012302006362006068, 0.0009818250546231866, 0.0026290281675755978, 0.00017282181943301111, 0.002434796653687954, 0.00018355503561906517, 0.0010466072708368301, 0.0008752305875532329, 0.0013188549783080816, 0.0028009298257529736, 0.0015065346378833055, 0.001209123176522553, 0.0030092252418398857, 0.0002390367881162092, 9.880787547444925e-05, 1.5716399502707645e-05, 0.0004373839474283159, 0.0006016179686412215, 0.0009037848794832826, 0.001595349982380867, 0.0016498330514878035, 0.000358099234290421, 0.001020789030008018, 0.0018613720312714577, 0.00022850579989608377]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,0.5627874732017517,0.1253874599933624,1.0,1.0,1.0,1.0,1.0,1.0,0.4374000132083893,1.0,1,1.0,recovered,0.5,,,,,,,,,,,
